epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1830.4,1.29671,1.88319,1.39504,0.82006,0.71761,0.78921,0.49727,1.12747,1.54614,1.34993,0.000474207,0.000474207,0.000474207
2,3588.18,1.18306,1.19206,1.28645,0.88374,0.73099,0.81884,0.50158,1.19379,1.178,1.38378,0.000832911,0.000832911,0.000832911
3,5512.06,1.15862,1.02614,1.26975,0.90012,0.80053,0.85752,0.56208,1.04207,0.85018,1.28099,0.00107372,0.00107372,0.00107372
4,7751.15,1.12998,0.88853,1.25362,0.87966,0.80752,0.86518,0.545,1.12629,0.75444,1.3414,0.000898484,0.000898484,0.000898484
5,12303.9,1.08209,0.82041,1.22353,0.89664,0.81774,0.88348,0.57509,1.01544,0.72081,1.24017,0.000721645,0.000721645,0.000721645
6,20450.7,1.06116,0.75134,1.19598,0.90766,0.83566,0.90998,0.60075,0.98886,0.61874,1.20255,0.000544806,0.000544806,0.000544806
7,22430.8,1.02838,0.6998,1.18285,0.90753,0.84179,0.91637,0.6095,0.97754,0.58431,1.20919,0.000367967,0.000367967,0.000367967
8,24408.5,1.00628,0.65805,1.16032,0.91649,0.8529,0.92161,0.61637,0.94468,0.5566,1.18697,0.000191129,0.000191129,0.000191129
